Company,Counts
EVN,69
Unknown,35
Công ty cổ phần Thiên Tân Solar Ninh Thuận – thành viên của Thiên Tân Group,6
Cty CP năng lượng Sông Lam Sơn La,4
Tasco Energy JSC,3
TM Hưng Hải - Tập đoàn Hưng Hải,3
Superblock Pcl,3
Công ty cổ phần Super Wind Energy Công Lý Sóc Trăng (Vietnam),3
Cam Lâm Solar (Cty CP Cam Lâm Solar),3
Xuân Cầu Company Ltd  (Vietnam)(BOT)),3
EVNGENCO2 (Vietnam),3
CTCP ĐTXD,3
"CT Năng Lượng BIM Energy, Tập Đoàn BIM Group, AC Energy (subsidiary ò Ayala Group (Philippines)",3
Tan Tao Energy (Vietnam) Công Ty Cổ Phần Phát triển Năng lượng Tân Tạo,3
Dầu Tiếng Tây Ninh Energy (a JV between B Grimm Power Public CL (Thailand),3
Vinacomin (Vietnam),3
"Công ty cổ phần năng lượng Gelex Quảng Trị,",3
Nam Tien Lao Cai JSC.,3
Vinacomin (Vietnam) Tập đoàn công nghiệp Than-Khoáng sản Việt Nam,3
Hoang Anh Gia Lai JSC.,3
CT TNHH Năng Lượng Phan Lâm,2
Petrovietnam (Tập đoàn Dầu khí),2
Gia Lai Electricity JSC.,2
VinaCapital Group Ltd.,2
Electricity Generating Authority of Thailand - EGAT International (Thailand),2
Can Tho Thermal Power Company (CTTP),2
Viet Nam Electricity Development JSC/Bitexco,2
Fujiwara JSC,2
Petrovietnam,2
Công ty cổ phần Sông Đà 705 (Vietnam),2
Dak Psi Hydro Power Investment and Development JSC,2
Vinacomin and Cẩm Phả Thermal-power Joint-Stock Company,2
CT TNHH MTV Solar Power Ninh Thuận,2
Công ty Điện lực Miền Bắc,2
Thac Mo Hydropower JSC,2
Công ty cổ phần Năng lượng tái tạo Việt Nam (REVN),2
J-Power,2
Ca Mau Petrovietnam Power Company,2
Hưng Hải Lai Châu Construction Co. Ltd (Công ty CP tập đoàn Hưng Hải),2
Công ty Cổ phần Tập đoàn Hưng Hải,2
"Gulf International Holding Pte, Dien Xanh Gia Lai Investment Energy JSC",2
Nam Lum Hydro Power JSC.,2
BCG Energy,2
Que Phong Hydropower JSC,2
Cong Ly Ltd Co (Công ty trách nhiệm hữu hạn Xây dựng - Thương mại và Du lịch Công Lý),2
"IDICO (Vietnam), Bitexco (Vietnam)",2
Nam Muc Hydropower JSC,2
KCP Vietnam Industries Limited (Công ty TNHH Công nghiệp KCP),2
Công ty Cổ Phần Nhiệt Điện Phả Lại,2
Phu Khanh Photovoltaic JSC,2
Gia Nghi Co. Ltd,2
Cty CP Xây dựng và Thương mại Lam Sơn,2
CTCP Đầu tư  xây dựng Vịnh Nha Trang,2
Sao Mai Group (Vietnam),2
An Khanh Electricity JSC,2
Nui Coc Lake Hydropower JSC.,2
"Thuan Binh Wind Power JSC (Công ty Cổ phần Phong điện Thuận Bình), an EVN’s affiliate (Vietnam)",2
"Formosa Plastics Group, Hưng Nghiệp Formosa",2
Vinacomin,2
Song Giang Hydropower Exploitation JSC (Công ty Cổ phần Khai thác thủy điện Sông Giang),2
Bac Minh Development Investment JSC,2
Công ty Cổ phần Đầu tư Năng lượng Xây dựng Thương mại Hoàng Sơn (Vietnam),2
Lam Son Construction & Trading Co. Ltd,2
"Gio Thành (Cty CP Năng lượng Gio Thành), Cty CP Seco",2
